Country or Area,Year,Value,Value Footnotes
Afghanistan,2013,1960,
Afghanistan,2012,1940,
Afghanistan,2011,1700,
Afghanistan,2010,1610,
Afghanistan,2009,1500,
Afghanistan,2008,1260,
Afghanistan,2007,1230,
Afghanistan,2006,1080,
Afghanistan,2005,1020,
Afghanistan,2004,920,
Afghanistan,2003,920,
Afghanistan,2002,860,
Albania,2013,10400,
Albania,2012,9930,
Albania,2011,9870,
Albania,2010,9390,
Albania,2009,9330,
Albania,2008,8920,
Albania,2007,7950,
Albania,2006,7410,
Albania,2005,6530,
Albania,2004,5980,
Albania,2003,5490,
Albania,2002,5060,
Albania,2001,4850,
Albania,2000,4370,
Albania,1999,3920,
Albania,1998,3500,
Albania,1997,3050,
Albania,1996,3330,
Albania,1995,2960,
Albania,1994,2500,
Albania,1993,2220,
Albania,1992,1910,
Albania,1991,2040,
Albania,1990,2840,
Algeria,2013,13070,
Algeria,2012,12860,
Algeria,2011,12490,
Algeria,2010,12230,
Algeria,2009,11790,
Algeria,2008,11740,
Algeria,2007,11430,
Algeria,2006,10670,
Algeria,2005,10270,
Algeria,2004,9570,
Algeria,2003,9100,
Algeria,2002,8420,
Algeria,2001,8030,
Algeria,2000,7450,
Algeria,1999,7240,
Algeria,1998,7060,
Algeria,1997,6720,
Algeria,1996,6590,
Algeria,1995,6340,
Algeria,1994,6170,
Algeria,1993,6270,
Algeria,1992,6330,
Algeria,1991,6200,
Algeria,1990,6320,
Angola,2013,7000,
Angola,2012,6580,
Angola,2011,6340,
Angola,2010,6190,
Angola,2009,6160,
Angola,2008,5690,
Angola,2007,5290,
Angola,2006,4240,
Angola,2005,3570,
Angola,2004,3080,
Angola,2003,2820,
Angola,2002,2690,
Angola,2001,2290,
Angola,2000,2190,
Angola,1999,2010,
Angola,1998,2090,
Angola,1997,2050,
Angola,1996,1790,
Angola,1995,1530,
Angola,1994,910,
Angola,1993,1140,
Angola,1992,1540,
Angola,1991,2200,
Angola,1990,2240,
Antigua and Barbuda,2013,20490,
Antigua and Barbuda,2012,20060,
Antigua and Barbuda,2011,19290,
Antigua and Barbuda,2010,19590,
Antigua and Barbuda,2009,20760,
Antigua and Barbuda,2008,23590,
Antigua and Barbuda,2007,23500,
Antigua and Barbuda,2006,21130,
Antigua and Barbuda,2005,18260,
Antigua and Barbuda,2004,16710,
Antigua and Barbuda,2003,15670,
Antigua and Barbuda,2002,14580,
Antigua and Barbuda,2001,14430,
Antigua and Barbuda,2000,14440,
Antigua and Barbuda,1999,14030,
Antigua and Barbuda,1998,13640,
Antigua and Barbuda,1997,13220,
Antigua and Barbuda,1996,12190,
Antigua and Barbuda,1995,11850,
Antigua and Barbuda,1994,12460,
Antigua and Barbuda,1993,11800,
Antigua and Barbuda,1992,10950,
Antigua and Barbuda,1991,10690,
Antigua and Barbuda,1990,9810,
Arab World,2013,16142,
Arab World,2012,15846,
Arab World,2011,14996,
Arab World,2010,14284,
Arab World,2009,13853,
Arab World,2008,13824,
Arab World,2007,13133,
Arab World,2006,12357,
Arab World,2005,11369,
Arab World,2004,10591,
Arab World,2003,9832,
Arab World,2002,9257,
Arab World,2001,9225,
Arab World,2000,8966,
Arab World,1999,8612,
Arab World,1998,8552,
Arab World,1997,8260,
Arab World,1996,7943,
Arab World,1995,7655,
Arab World,1994,7488,
Arab World,1993,7357,
Arab World,1992,7220,
Arab World,1991,6930,
Arab World,1990,6581,
Argentina,2013,,2
Argentina,2012,,2
Argentina,2011,,2
Argentina,2010,,2
Argentina,2009,,2
Argentina,2008,,2
Argentina,2007,,2
Armenia,2013,8180,
Armenia,2012,7740,
Armenia,2011,7050,
Armenia,2010,6690,
Armenia,2009,6410,
Armenia,2008,7510,
Armenia,2007,6830,
Armenia,2006,5790,
Armenia,2005,4910,
Armenia,2004,4120,
Armenia,2003,3630,
Armenia,2002,3120,
Armenia,2001,2690,
Armenia,2000,2380,
Armenia,1999,2190,
Armenia,1998,2080,
Armenia,1997,1950,
Armenia,1996,1780,
Armenia,1995,1580,
Armenia,1994,1420,
Armenia,1993,1180,
Armenia,1992,1130,
Armenia,1991,2220,
Armenia,1990,2330,
Australia,2013,42450,
Australia,2012,41570,
Australia,2011,40030,
Australia,2010,37530,
Australia,2009,38800,
Australia,2008,35960,
Australia,2007,34950,
Australia,2006,32940,
Australia,2005,31360,
Australia,2004,30420,
Australia,2003,28940,
Australia,2002,27910,
Australia,2001,26660,
Australia,2000,25560,
Australia,1999,24480,
Australia,1998,23520,
Australia,1997,22130,
Australia,1996,21290,
Australia,1995,20310,
Australia,1994,19640,
Australia,1993,18720,
Australia,1992,17560,
Australia,1991,17100,
Australia,1990,16810,
Austria,2013,45450,
Austria,2012,45110,
Austria,2011,44440,
Austria,2010,42050,
Austria,2009,40670,
Austria,2008,41370,
Austria,2007,39100,
Austria,2006,37770,
Austria,2005,34580,
Austria,2004,33730,
Austria,2003,32100,
Austria,2002,31110,
Austria,2001,29470,
Austria,2000,29290,
Austria,1999,27500,
Austria,1998,26610,
Austria,1997,25470,
Austria,1996,24580,
Austria,1995,23570,
Austria,1994,22640,
Austria,1993,21760,
Austria,1992,21310,
Austria,1991,20570,
Austria,1990,19540,
Azerbaijan,2013,16180,
Azerbaijan,2012,14870,
Azerbaijan,2011,14590,
Azerbaijan,2010,14600,
Azerbaijan,2009,13720,
Azerbaijan,2008,12310,
Azerbaijan,2007,10560,
Azerbaijan,2006,8570,
Azerbaijan,2005,6280,
Azerbaijan,2004,5100,
Azerbaijan,2003,4650,
Azerbaijan,2002,4120,
Azerbaijan,2001,3710,
Azerbaijan,2000,3340,
Azerbaijan,1999,3110,
Azerbaijan,1998,2900,
Azerbaijan,1997,2630,
Azerbaijan,1996,2430,
Azerbaijan,1995,2410,
Azerbaijan,1994,2720,
Azerbaijan,1993,3360,
"Bahamas, The",2013,22700,
"Bahamas, The",2012,22490,
"Bahamas, The",2011,22270,
"Bahamas, The",2010,21880,
"Bahamas, The",2009,21830,
"Bahamas, The",2008,23260,
"Bahamas, The",2007,23540,
"Bahamas, The",2006,23080,
"Bahamas, The",2005,22250,
"Bahamas, The",2004,21410,
"Bahamas, The",2003,21030,
"Bahamas, The",2002,21210,
"Bahamas, The",2001,20740,
"Bahamas, The",2000,20150,
"Bahamas, The",1999,19250,
"Bahamas, The",1998,18120,
"Bahamas, The",1997,16780,
"Bahamas, The",1996,20730,
"Bahamas, The",1995,18290,
"Bahamas, The",1994,17380,
"Bahamas, The",1993,16820,
"Bahamas, The",1992,16940,
"Bahamas, The",1991,17120,
"Bahamas, The",1990,17600,
Bahrain,2012,35760,
Bahrain,2011,34890,
Bahrain,2010,36070,
Bahrain,2009,35380,
Bahrain,2008,39350,
Bahrain,2007,40190,
Bahrain,2006,38960,
Bahrain,2005,38190,
Bahrain,2004,36460,
Bahrain,2003,35230,
Bahrain,2002,33970,
Bahrain,2001,34520,
Bahrain,2000,34840,
Bahrain,1999,33160,
Bahrain,1998,33030,
Bahrain,1997,31870,
Bahrain,1996,32400,
Bahrain,1995,31240,
Bahrain,1994,29200,
Bahrain,1993,29580,
Bahrain,1992,27430,
Bahrain,1991,26670,
Bahrain,1990,19180,
Bangladesh,2013,3190,
Bangladesh,2012,3010,
Bangladesh,2011,2790,
Bangladesh,2010,2600,
Bangladesh,2009,2460,
Bangladesh,2008,2340,
Bangladesh,2007,2160,
Bangladesh,2006,1980,
Bangladesh,2005,1810,
Bangladesh,2004,1680,
Bangladesh,2003,1570,
Bangladesh,2002,1470,
Bangladesh,2001,1390,
Bangladesh,2000,1320,
Bangladesh,1999,1240,
Bangladesh,1998,1180,
Bangladesh,1997,1140,
Bangladesh,1996,1080,
Bangladesh,1995,1030,
Bangladesh,1994,990,
Bangladesh,1993,940,
Bangladesh,1992,900,
Bangladesh,1991,850,
Bangladesh,1990,820,
Barbados,2012,15090,
Barbados,2011,14930,
Barbados,2010,14650,
Barbados,2009,14260,
Barbados,2008,14640,
Barbados,2007,14570,
Barbados,2006,13770,
Barbados,2005,12900,
Barbados,2004,12220,
Barbados,2003,11690,
Barbados,2002,11340,
Barbados,2001,11170,
Barbados,2000,11310,
Barbados,1999,10870,
Barbados,1998,10530,
Barbados,1997,10030,
Barbados,1996,9250,
Barbados,1995,8970,
Barbados,1994,8720,
Barbados,1993,8250,
Barbados,1992,8050,
Barbados,1991,8260,
Barbados,1990,8240,
Belarus,2013,16950,
Belarus,2012,16810,
Belarus,2011,16410,
Belarus,2010,15060,
Belarus,2009,13760,
Belarus,2008,13730,
Belarus,2007,12230,
Belarus,2006,10990,
Belarus,2005,9680,
Belarus,2004,8510,
Belarus,2003,7380,
Belarus,2002,6690,
Belarus,2001,6220,
Belarus,2000,5760,
Belarus,1999,5310,
Belarus,1998,5030,
Belarus,1997,4570,
Belarus,1996,4030,
Belarus,1995,3840,
Belarus,1994,4190,
Belarus,1993,4650,
Belarus,1992,4920,
Belarus,1991,5340,
Belarus,1990,5230,
Belgium,2013,41240,
Belgium,2012,41800,
Belgium,2011,41440,
Belgium,2010,39950,
Belgium,2009,37680,
Belgium,2008,38620,
Belgium,2007,37020,
Belgium,2006,35530,
Belgium,2005,33310,
Belgium,2004,32320,
Belgium,2003,31520,
Belgium,2002,31220,
Belgium,2001,29680,
Belgium,2000,28960,
Belgium,1999,26460,
Belgium,1998,25370,
Belgium,1997,24840,
Belgium,1996,23760,
Belgium,1995,23310,
Belgium,1994,22400,
Belgium,1993,21150,
Belgium,1992,20740,
Belgium,1991,20050,
Belgium,1990,19060,
Belize,2013,7870,
Belize,2012,7790,
Belize,2011,7640,
Belize,2010,7250,
Belize,2009,7350,
Belize,2008,7000,
Belize,2007,6810,
Belize,2006,6880,
Belize,2005,6550,
Belize,2004,7920,
Belize,2003,7390,
Belize,2002,6720,
Belize,2001,6550,
Belize,2000,6180,
Belize,1999,4800,
Belize,1998,4550,
Belize,1997,4500,
Belize,1996,4390,
Belize,1995,4370,
Belize,1994,4340,
Belize,1993,4340,
Belize,1992,4070,
Belize,1991,3650,
Belize,1990,3290,
Benin,2013,1780,
Benin,2012,1700,
Benin,2011,1640,
Benin,2010,1590,
Benin,2009,1580,
Benin,2008,1580,
Benin,2007,1520,
Benin,2006,1450,
Benin,2005,1400,
Benin,2004,1360,
Benin,2003,1320,
Benin,2002,1290,
